Trial,Accuracy,Duration,Params,BestAccuracy
24,0.7660576765525151,275.3119328022003,"{'n_d': 40, 'n_a': 11, 'n_steps': 5, 'gamma': 1.7000000000000002, 'n_shared': 5, 'momentum': 0.33, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
25,0.7585613632639685,169.9068899154663,"{'n_d': 46, 'n_a': 9, 'n_steps': 4, 'gamma': 1.9, 'n_shared': 4, 'momentum': 0.28, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
26,0.5142143208258234,200.14540672302246,"{'n_d': 53, 'n_a': 13, 'n_steps': 3, 'gamma': 1.4, 'n_shared': 5, 'momentum': 0.37, 'optimizer_function': <class 'torch.optim.sgd.SGD'>, 'batch_size': 512}",0.7889152875634934
27,0.7566360806160904,255.34199500083923,"{'n_d': 32, 'n_a': 10, 'n_steps': 6, 'gamma': 1.6, 'n_shared': 3, 'momentum': 0.26, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
28,0.7461084712436507,307.7581419944763,"{'n_d': 45, 'n_a': 11, 'n_steps': 7, 'gamma': 1.7000000000000002, 'n_shared': 5, 'momentum': 0.38, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 1024}",0.7889152875634934
29,0.7281664755038506,776.7759184837341,"{'n_d': 58, 'n_a': 8, 'n_steps': 4, 'gamma': 1.4, 'n_shared': 4, 'momentum': 0.18000000000000002, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 128}",0.7889152875634934
30,0.7546698345076192,381.015398979187,"{'n_d': 38, 'n_a': 9, 'n_steps': 5, 'gamma': 1.8, 'n_shared': 1, 'momentum': 0.060000000000000005, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 128}",0.7889152875634934
31,0.7435277732262822,103.82861876487732,"{'n_d': 49, 'n_a': 10, 'n_steps': 3, 'gamma': 1.9, 'n_shared': 4, 'momentum': 0.36000000000000004, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
32,0.7775684089791906,226.45053148269653,"{'n_d': 55, 'n_a': 10, 'n_steps': 3, 'gamma': 2.0, 'n_shared': 5, 'momentum': 0.33, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
33,0.7879731279698509,266.36957454681396,"{'n_d': 49, 'n_a': 11, 'n_steps': 3, 'gamma': 1.9, 'n_shared': 4, 'momentum': 0.37, 'optimizer_function': <class 'torch.optim.adam.Adam'>, 'batch_size': 512}",0.7889152875634934
34,0.38681795838112404,299.88676023483276,"{'n_d': 60, 'n_a': 12, 'n_steps': 4, 'gamma': 1.6, 'n_shared': 4, 'momentum': 0.4, 'optimizer_function': <class 'torch.optim.sgd.SGD'>, 'batch_size': 512}",0.7889152875634934
