Trial,Accuracy,Duration,Params,BestAccuracy
18,0.8135752908405702,21.530805587768555,"{'n_estimators': 942, 'eta': 0.8195145919420441, 'max_depth': 6, 'subsample': 0.4791535329032962, 'colsample_bytree': 0.11660284242177138, 'gamma': 3.6816759543833832, 'reg_lambda': 4.469253890318304, 'reg_alpha': 5.737923938676247, 'grow_policy': 'depthwise'}",0.8238161559888579
19,0.8213173848926757,46.02905607223511,"{'n_estimators': 556, 'eta': 0.5987680479851155, 'max_depth': 9, 'subsample': 0.8792853904385951, 'colsample_bytree': 0.5287071259797167, 'gamma': 3.2857826257252367, 'reg_lambda': 2.019353631839751, 'reg_alpha': 7.0459507676019, 'grow_policy': 'lossguide'}",0.8238161559888579
20,0.8182451253481894,38.497989654541016,"{'n_estimators': 385, 'eta': 0.40801799449959464, 'max_depth': 11, 'subsample': 0.5813583685756172, 'colsample_bytree': 0.7559660966967382, 'gamma': 4.924439833710851, 'reg_lambda': 8.11385220034519, 'reg_alpha': 4.568823780536827, 'grow_policy': 'lossguide'}",0.8238161559888579
21,0.8095608717024414,199.07091999053955,"{'n_estimators': 572, 'eta': 0.0037836699048844347, 'max_depth': 9, 'subsample': 0.8827104791164175, 'colsample_bytree': 0.5360880562190087, 'gamma': 3.1436697176582205, 'reg_lambda': 1.6059778315940039, 'reg_alpha': 7.019603619390811, 'grow_policy': 'lossguide'}",0.8238161559888579
22,0.8229968867769949,28.458462953567505,"{'n_estimators': 543, 'eta': 0.595007672304176, 'max_depth': 8, 'subsample': 0.9983047554674167, 'colsample_bytree': 0.3676657936293324, 'gamma': 1.8439765155743149, 'reg_lambda': 4.013670241662334, 'reg_alpha': 8.273236759569095, 'grow_policy': 'lossguide'}",0.8238161559888579
23,0.8191872849418319,16.480637073516846,"{'n_estimators': 704, 'eta': 0.5134750188397104, 'max_depth': 8, 'subsample': 0.7532695007642701, 'colsample_bytree': 0.3475259902429614, 'gamma': 1.9310265774743027, 'reg_lambda': 3.785891955812632, 'reg_alpha': 8.483021933636918, 'grow_policy': 'lossguide'}",0.8238161559888579
24,0.818654759954121,17.336753368377686,"{'n_estimators': 355, 'eta': 0.6922773266614675, 'max_depth': 6, 'subsample': 0.8892319498013124, 'colsample_bytree': 0.16722796537409032, 'gamma': 0.2702091733203109, 'reg_lambda': 4.0695984566634165, 'reg_alpha': 8.849739282042385, 'grow_policy': 'lossguide'}",0.8238161559888579
25,0.8233245944617401,55.13023018836975,"{'n_estimators': 217, 'eta': 0.3137377423354985, 'max_depth': 8, 'subsample': 0.9731649963258803, 'colsample_bytree': 0.3257508007046714, 'gamma': 3.9052856422329616, 'reg_lambda': 5.53438566736531, 'reg_alpha': 5.343025493189958, 'grow_policy': 'lossguide'}",0.8238161559888579
26,0.8168523676880223,44.19295811653137,"{'n_estimators': 218, 'eta': 0.2955493890776358, 'max_depth': 10, 'subsample': 0.3814984265604129, 'colsample_bytree': 0.2975398760271705, 'gamma': 1.8027172032023313, 'reg_lambda': 5.291810375107364, 'reg_alpha': 6.506961045299247, 'grow_policy': 'depthwise'}",0.8238161559888579
27,0.8235294117647058,85.43400621414185,"{'n_estimators': 236, 'eta': 0.19323159744055796, 'max_depth': 8, 'subsample': 0.9066695957489785, 'colsample_bytree': 0.43312625840432767, 'gamma': 4.074781418241975, 'reg_lambda': 5.490156933289633, 'reg_alpha': 3.370664236700839, 'grow_policy': 'lossguide'}",0.8238161559888579
28,0.820580042601999,42.6689612865448,"{'n_estimators': 103, 'eta': 0.1583330009359437, 'max_depth': 10, 'subsample': 0.7389055722455302, 'colsample_bytree': 0.42130593912601383, 'gamma': 4.143577045896932, 'reg_lambda': 7.486957651615146, 'reg_alpha': 3.091549016787865, 'grow_policy': 'lossguide'}",0.8238161559888579
29,0.811322300507947,32.958502531051636,"{'n_estimators': 229, 'eta': 0.2493925946584794, 'max_depth': 4, 'subsample': 0.6227360668986817, 'colsample_bytree': 0.13218715546444593, 'gamma': 5.356593032744931, 'reg_lambda': 8.701587160926856, 'reg_alpha': 2.5550373765226366, 'grow_policy': 'lossguide'}",0.8238161559888579
30,0.8240619367524168,108.2049572467804,"{'n_estimators': 219, 'eta': 0.08192482405499607, 'max_depth': 12, 'subsample': 0.905263770271641, 'colsample_bytree': 0.44851758957376325, 'gamma': 4.508645192559249, 'reg_lambda': 5.675555081118598, 'reg_alpha': 1.614924144920673, 'grow_policy': 'lossguide'}",0.8240619367524168
31,0.8262739636244469,116.18162035942078,"{'n_estimators': 217, 'eta': 0.08561500572357877, 'max_depth': 15, 'subsample': 0.9045727782648219, 'colsample_bytree': 0.313905692291218, 'gamma': 4.2338678982726305, 'reg_lambda': 5.410467865084295, 'reg_alpha': 1.433862284374107, 'grow_policy': 'lossguide'}",0.8262739636244469
32,0.8249221694248731,134.64049243927002,"{'n_estimators': 257, 'eta': 0.07669696267643264, 'max_depth': 13, 'subsample': 0.9134478565192355, 'colsample_bytree': 0.41661090315592975, 'gamma': 4.8330025832163965, 'reg_lambda': 7.043205641172582, 'reg_alpha': 1.6236260792130317, 'grow_policy': 'lossguide'}",0.8262739636244469
33,0.8266016713091922,224.97773909568787,"{'n_estimators': 368, 'eta': 0.0790968072689161, 'max_depth': 15, 'subsample': 0.7811395487749159, 'colsample_bytree': 0.4773187654339129, 'gamma': 4.60097663371034, 'reg_lambda': 7.446923164061552, 'reg_alpha': 1.1070273889767839, 'grow_policy': 'lossguide'}",0.8266016713091922
34,0.8099295428477797,154.3149333000183,"{'n_estimators': 325, 'eta': 0.0020223763680552453, 'max_depth': 15, 'subsample': 0.782352345434073, 'colsample_bytree': 0.462151540631413, 'gamma': 4.84594591797054, 'reg_lambda': 7.802519397932578, 'reg_alpha': 1.1170318836920714, 'grow_policy': 'lossguide'}",0.8266016713091922
35,0.8248402425036867,116.37773752212524,"{'n_estimators': 181, 'eta': 0.08112933320502166, 'max_depth': 15, 'subsample': 0.8362827656549622, 'colsample_bytree': 0.5565419444768911, 'gamma': 5.788960245639528, 'reg_lambda': 7.189911891545878, 'reg_alpha': 0.20818141005154134, 'grow_policy': 'lossguide'}",0.8266016713091922
36,0.8220547271833525,98.83750891685486,"{'n_estimators': 154, 'eta': 0.08732033103260393, 'max_depth': 15, 'subsample': 0.8428719152584839, 'colsample_bytree': 0.5683414700478229, 'gamma': 7.255152867739702, 'reg_lambda': 7.220028622957658, 'reg_alpha': 0.17032293065817083, 'grow_policy': 'lossguide'}",0.8266016713091922
37,0.8242257905947894,176.73844170570374,"{'n_estimators': 289, 'eta': 0.12389389252559632, 'max_depth': 14, 'subsample': 0.6920151402800099, 'colsample_bytree': 0.5684712262593659, 'gamma': 5.72224259938462, 'reg_lambda': 8.885041100676087, 'reg_alpha': 0.8500371311712024, 'grow_policy': 'depthwise'}",0.8266016713091922
38,0.8141078158282812,196.43461894989014,"{'n_estimators': 379, 'eta': 0.03701658516239081, 'max_depth': 14, 'subsample': 0.37211418830403664, 'colsample_bytree': 0.702613925074699, 'gamma': 7.935326086578009, 'reg_lambda': 6.395295107254388, 'reg_alpha': 2.028102659875718, 'grow_policy': 'lossguide'}",0.8266016713091922
39,0.8223824348680977,209.7808701992035,"{'n_estimators': 263, 'eta': 0.15677103552645466, 'max_depth': 15, 'subsample': 0.6278792952767539, 'colsample_bytree': 0.851524041118846, 'gamma': 6.668606037765212, 'reg_lambda': 6.892187751955141, 'reg_alpha': 0.6109764529221278, 'grow_policy': 'lossguide'}",0.8266016713091922
